Group	Name	Weight	Reference	PubMed	Source	Note
Physical Interactions	Danisman-Immink-2013	0.09899280157460444	Analysis of functional redundancies within the Arabidopsis TCP transcription factor family. Danisman et al. (2013). J Exp Bot	http://www.ncbi.nlm.nih.gov/pubmed/24129704		
Physical Interactions	IREF-intcomplex	0.06271973683276841				
Physical Interactions	Boruc-Russinova-2010 A	0.061645461422738294	Functional modules in the Arabidopsis core cell cycle binary protein-protein interaction network. Boruc et al. (2010). Plant Cell	http://www.ncbi.nlm.nih.gov/pubmed/20407024		
Physical Interactions	Causier-Davies-2012	0.038804916602814286	The TOPLESS interactome: a framework for gene repression in Arabidopsis. Causier et al. (2012). Plant Physiol	http://www.ncbi.nlm.nih.gov/pubmed/22065421		
Physical Interactions	Sako-Yamaguchi-2014	0.025909274160711895	Proteomic analysis of the 26S proteasome reveals its direct interaction with transit peptides of plastid protein precursors for their degradation. Sako et al. (2014). J Proteome Res	http://www.ncbi.nlm.nih.gov/pubmed/24846764		
Physical Interactions	IREF-dip	0.02149552033975768				
Physical Interactions	Popescu-Dinesh-Kumar-2009	0.01777805639305686	MAPK target networks in Arabidopsis thaliana revealed using functional protein microarrays. Popescu et al. (2009). Genes Dev	http://www.ncbi.nlm.nih.gov/pubmed/19095804		
Physical Interactions	IREF-bind-translation	0.016498704551705854				
Physical Interactions	IREF-quickgo	0.016298866072944115				
Physical Interactions	Boruc-Russinova-2010 B	0.015293114911321563	Functional modules in the Arabidopsis core cell cycle binary protein-protein interaction network. Boruc et al. (2010). Plant Cell	http://www.ncbi.nlm.nih.gov/pubmed/20407024		
Physical Interactions	Fujiwara-Fukao-2014	0.01377783622827749	Interactomics of Qa-SNARE in Arabidopsis thaliana. Fujiwara et al. (2014). Plant Cell Physiol	http://www.ncbi.nlm.nih.gov/pubmed/24556609		
Physical Interactions	Van Leene-De Jaeger-2010	0.012941481100106213	Targeted interactomics reveals a complex core cell cycle machinery in Arabidopsis thaliana. Van Leene et al. (2010). Mol Syst Biol	http://www.ncbi.nlm.nih.gov/pubmed/20706207		
Physical Interactions	Lumba-McCourt-2014	0.012071787984955968	A mesoscale abscisic acid hormone interactome reveals a dynamic signaling landscape in Arabidopsis. Lumba et al. (2014). Dev Cell	http://www.ncbi.nlm.nih.gov/pubmed/24823379		
Physical Interactions	IREF-SMALL-SCALE-STUDIES	0.010969813419240321				
Physical Interactions	IREF-uniprotpp	0.010447828608057852				
Physical Interactions	Kuroda-Matsui-2012	0.010311512097125674	A comprehensive analysis of interaction and localization of Arabidopsis SKP1-like (ASK) and F-box (FBX) proteins. Kuroda et al. (2012). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/23166809		
Physical Interactions	IREF-mint	0.010148498310293887				
Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES	0.010144689194495219				
Physical Interactions	Lee-Rhee-2010 Protein interactions	0.009656573183188938	Rational association of genes with traits using a genome-scale gene network for Arabidopsis thaliana. Lee et al. (2010). Nat Biotechnol	http://www.ncbi.nlm.nih.gov/pubmed/20118918		
Physical Interactions	Van Leene-De Jaeger-2019	0.009036823180699137	Capturing the phosphorylation and protein interaction landscape of the plant TOR kinase. Van Leene et al. (2019). Nat Plants	http://www.ncbi.nlm.nih.gov/pubmed/30833711		
Physical Interactions	IREF-bind	0.007371813172115107				
Physical Interactions	Altmann-Falter-Braun-2020	0.005356267561906466	Extensive signal integration by the phytohormone protein network. Altmann et al. (2020). Nature	http://www.ncbi.nlm.nih.gov/pubmed/32612234		
